,secID,ticker,exchangeCD,ListSectorCD,ListSector,transCurrCD,secShortName,secFullName,listStatusCD,listDate,delistDate,equTypeCD,equType,exCountryCD,partyID,totalShares,nonrestFloatShares,nonrestfloatA,officeAddr,primeOperating,endDate,TShEquity
1007,002498.XSHE,002498,XSHE,3,中小板,CNY,汉缆股份,青岛汉缆股份有限公司,L,2010-11-09,,A,沪深A股,CHN,38722,3326796000.0,3220725000.0,3220725000.0,山东省青岛市崂山区九水东路628号,"电线电缆及电缆附件的研发、生产、销售与安装服务。产品涉及电力电缆、电气装备电线电缆、通信电缆与光缆、裸电线及其他等五大门类,拥有两百多个系列、近万余种规格的高、中、低压电线电缆产品,其中220kV及以上交联电缆,220kV及以下电缆附件,110kV光纤综合海底电缆,石油平台用电缆,耐热及高强度铝合金等特种导线为业务发展重点。",2017-03-31,4513117018.19
1008,002499.XSHE,002499,XSHE,3,中小板,CNY,科林环保,科林环保装备股份有限公司,L,2010-11-09,,A,沪深A股,CHN,39009,189000000.0,137490300.0,137490300.0,江苏省苏州市吴江区高新路425号科林环保科技园,袋式除尘器的的研发、生产与销售。,2017-03-31,754063438.97
1009,002500.XSHE,002500,XSHE,3,中小板,CNY,山西证券,山西证券股份有限公司,L,2010-11-15,,A,沪深A股,CHN,26537,2828725200.0,2828725200.0,2828725200.0,山西省太原市府西街69号山西国际贸易中心东塔楼,证券经纪、证券自营、资产管理、投资银行、财务顾问等证券相关业务。,2017-03-31,13184839814.0
1010,002501.XSHE,002501,XSHE,3,中小板,CNY,利源精制,吉林利源精制股份有限公司,L,2010-11-17,,A,沪深A股,CHN,39010,1214835600.0,675088100.0,675088100.0,吉林省辽源市龙山区西宁大路5729号,铝型材及深加工产品的研发、生产与销售业务。,2017-03-31,7630551852.52
1011,002502.XSHE,002502,XSHE,3,中小板,CNY,骅威文化,骅威文化股份有限公司,L,2010-11-17,,A,沪深A股,CHN,39193,859828900.0,505883900.0,505883900.0,广东省汕头市澄海区澄华工业区玉亭路,网络游戏、影视剧、动漫及其相关衍生产品。,2017-03-31,3257359980.68
1012,002503.XSHE,002503,XSHE,3,中小板,CNY,搜于特,搜于特集团股份有限公司,L,2010-11-17,,A,沪深A股,CHN,39361,3124191900.0,1626761600.0,1626761600.0,广东省东莞市道滘镇昌平第二工业区第一栋,“潮流前线”品牌青春休闲服饰的自主设计和销售。,2017-03-31,5486849447.16
1013,002504.XSHE,002504,XSHE,3,中小板,CNY,*ST弘高,北京弘高创意建筑设计股份有限公司,L,2010-11-18,,A,沪深A股,CHN,33322,1025800500.0,414547100.0,414547100.0,北京市朝阳区来广营西路朝来高科技产业园7号楼,"从事半导体分立器件、集成电路的开发、设计、制造和销售,主要产品涵盖四大系列:防护功率器件系列产品,VDMOS系列产品,可控硅系列产品,1300X系列产品。",2017-03-31,1113723119.05
1014,002505.XSHE,002505,XSHE,3,中小板,CNY,大康农业,湖南大康国际农业食品股份有限公司,L,2010-11-18,,A,沪深A股,CHN,39233,5485372200.0,1546370100.0,1546370100.0,上海市虹口区东大名路948号白金湾广场18楼,农业生产资料经销、粮食贸易以及生物柴油的生产销售。,2017-03-31,5921667236.02
1015,002506.XSHE,002506,XSHE,3,中小板,CNY,协鑫集成,协鑫集成科技股份有限公司,L,2010-11-18,,A,沪深A股,CHN,34805,5046400000.0,2523520000.0,2523520000.0,江苏省苏州市工业园区新庆路28号(协鑫能源中心),研发、生产及销售晶体硅太阳能电池,2017-03-31,4053135494.11
1016,002507.XSHE,002507,XSHE,3,中小板,CNY,涪陵榨菜,重庆市涪陵榨菜集团股份有限公司,L,2010-11-23,,A,沪深A股,CHN,39382,789357200.0,453922000.0,453922000.0,重庆市涪陵区江北街道办事处二渡村一组,"榨菜产品、榨菜酱油和其他佐餐开胃菜等方便食品的研制、生产和销售,其中最主要的是榨菜生产加工和销售,主导产品为乌江牌系列榨菜。",2017-03-31,1630119006.59
1017,002508.XSHE,002508,XSHE,3,中小板,CNY,老板电器,杭州老板电器股份有限公司,L,2010-11-23,,A,沪深A股,CHN,39258,949032800.0,930433200.0,930433200.0,浙江省杭州市余杭区余杭经济开发区临平大道592号,"厨房电器产品的研发、生产和销售,主要产品包括吸油烟机、燃气灶、消毒柜,以及电压力煲、电磁炉、电热水壶、食品加工机等配套厨房小家电产品。",2017-03-31,4398694024.24
1018,002509.XSHE,002509,XSHE,3,中小板,CNY,天广中茂,天广中茂股份有限公司,L,2010-11-23,,A,沪深A股,CHN,39360,2492492700.0,1342307900.0,1342307900.0,福建省南安市成功科技工业区,消防产品的设计、开发、生产与销售;园林工程;食用菌的研发、工厂化种植与销售。,2017-03-31,4543425902.7
1019,002510.XSHE,002510,XSHE,3,中小板,CNY,天汽模,天津汽车模具股份有限公司,L,2010-11-25,,A,沪深A股,CHN,37568,835844800.0,660666600.0,660666600.0,天津市空港经济区航天路77号,汽车车身覆盖件模具、检具、夹具等汽车车身制造工艺装备研究、设计、制造及汽车车身冲压件制造。,2017-03-31,2100126504.32
1020,002511.XSHE,002511,XSHE,3,中小板,CNY,中顺洁柔,中顺洁柔纸业股份有限公司,L,2010-11-25,,A,沪深A股,CHN,39232,757887000.0,733015800.0,733015800.0,广东省中山市西区彩虹大道136号,生产和销售中高档生活用纸。,2017-03-31,2794263157.03
1021,002512.XSHE,002512,XSHE,3,中小板,CNY,达华智能,中山达华智能科技股份有限公司,L,2010-12-03,,A,沪深A股,CHN,39484,1095386100.0,571770100.0,571770100.0,广东省中山市小榄镇泰丰工业区水怡南路9号,非接触IC卡、电子标签等各类RFID产品的研发、生产和销售。,2017-03-31,2936084298.43
1022,002513.XSHE,002513,XSHE,3,中小板,CNY,蓝丰生化,江苏蓝丰生物化工股份有限公司,L,2010-12-03,,A,沪深A股,CHN,39383,340086300.0,247570200.0,247570200.0,江苏省新沂市经济开发区苏化路1号,杀菌剂原药及剂型、杀虫剂原药及剂型、除草剂原药及剂型、精细化工中间体的生产和销售.,2017-03-31,2531064724.8
1023,002514.XSHE,002514,XSHE,3,中小板,CNY,宝馨科技,苏州宝馨科技实业股份有限公司,L,2010-12-03,,A,沪深A股,CHN,39381,554034200.0,380195900.0,380195900.0,江苏省苏州市高新区浒墅关经济开发区石阳路17号,"运用数控钣金技术,研发、设计、生产、销售工业级数控钣金结构产品,主要供应给电力、通讯、医疗、金融及新能源等领域的终端产品生产企业。",2017-03-31,944090980.98
1024,002515.XSHE,002515,XSHE,3,中小板,CNY,金字火腿,金字火腿股份有限公司,L,2010-12-03,,A,沪深A股,CHN,39458,978313300.0,616413800.0,616413800.0,浙江省金华市工业园区金帆街1000号,从事金华火腿、火腿制品等发酵肉制品及各类低温肉制品的研发、生产及销售。,2017-03-31,1803312028.13
1025,002516.XSHE,002516,XSHE,3,中小板,CNY,旷达科技,旷达科技集团股份有限公司,L,2010-12-07,,A,沪深A股,CHN,39501,1503412800.0,745462800.0,745462800.0,江苏省常州市武进区雪堰镇旷达路1号,汽车及其他交通工具座椅面料以及其他内饰面料和车内饰面料用有色差别化涤纶丝的研发、生产和销售。,2017-03-31,3769957031.93
1026,002517.XSHE,002517,XSHE,3,中小板,CNY,恺英网络,恺英网络股份有限公司,L,2010-12-07,,A,沪深A股,CHN,39502,717505900.0,236815400.0,236815400.0,上海市闵行区陈行路2388号浦江科技广场3号楼3楼,网络游戏的开发及运营与移动应用产品分发,2017-03-31,3568396160.98
1027,002518.XSHE,002518,XSHE,3,中小板,CNY,科士达,深圳科士达科技股份有限公司,L,2010-12-07,,A,沪深A股,CHN,38583,578917800.0,552513900.0,552513900.0,"广东省深圳市南山区高新北区科技中二路软件园1栋4楼401,402室",UPS以及配套的阀控式密封铅酸蓄电池的研发、生产、销售和配套服务。,2017-03-31,2047147556.25
1028,002519.XSHE,002519,XSHE,3,中小板,CNY,银河电子,江苏银河电子股份有限公司,L,2010-12-07,,A,沪深A股,CHN,39555,1142222900.0,773125500.0,773125500.0,江苏省张家港市塘桥镇南环路188号,广播电视设备、计算机及部件、通信设备等电子产品的研发、生产、销售业务。,2017-03-31,3697087267.05
1029,002520.XSHE,002520,XSHE,3,中小板,CNY,日发精机,浙江日发精密机械股份有限公司,L,2010-12-10,,A,沪深A股,CHN,19161,554089000.0,530173400.0,530173400.0,浙江省绍兴市新昌县七星街道日发数码科技园,数控机床的研发、制造和销售。,2017-03-31,1740418906.22
